Labels "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()"
1 0.276336875325203 -0.0179068331339779 -0.108881687638618 0.93499157825784 -0.196713497359117 -0.0538251249015482 0.0767187377408595 0.0115061924659823 -0.00231938614930952 -0.0347275766522822 -0.0694200436104837 0.0863626487285566 -0.0943007119992102 -0.0445701108594715 -0.0540064674427816 -0.167937853979757 -0.167937853979757 -0.241451989838379 -0.274866019270244 -0.460511516745528 -0.297890931822619 -0.0423392245272938 -0.341840674953966 -0.28685827761899 0.0518636618040337 0.0749560748261487 -0.31112743843018 -0.170395065771795 -0.451010514389593 -0.258388290587468 -0.354659109992689 -0.24068649680518 -0.348237370890012 -0.388384886139303 -0.310406242610407 -0.0677418230563182 -0.0984530711444367 -0.0721787297258188 -0.275558097404657 0.184417205519328 -0.214653971925401 0.0773140386701899 -0.409173038476359 0.163203814253339 -0.515516844208937 0.130805801208583
2 0.26229464948342 -0.0259232890342181 -0.120537934670272 0.875003375958549 -0.281377193548575 -0.14079566587547 0.0767293215286917 0.00875888964679404 -0.00600953398545337 0.00682449600215674 -0.0885225289752966 0.0598938080367487 -0.112117464583562 -0.0386192672141386 -0.0525810278118912 -0.100204123946392 -0.100204123946392 -0.390938624541516 -0.178281147518361 -0.608047148013666 -0.293406752279022 -0.134950514403271 -0.368122061042293 -0.436683976651101 -0.169851327169637 -0.265200271104081 -0.389896773119819 -0.364666839787014 -0.591670061637306 -0.339080440587254 -0.452501330578951 -0.44116273987351 -0.394248174023122 -0.45925346898967 -0.296857721646179 -0.212837257343873 -0.319518692055149 -0.26034110185728 -0.26202811322658 -0.0532170060678109 -0.353961999926425 0.0628726058822474 -0.449781382648834 -0.168707548570072 -0.658694456439443 0.094112452115136
3 0.288137227760313 -0.0163119254923574 -0.105761624860013 0.926457404928876 -0.168507222023357 -0.0479709004743904 0.0892266917679481 0.000746749097403983 -0.00872860399406828 -0.0840345434632895 -0.0529928638977233 0.0946781961059175 -0.0728532273938407 -0.051263979292845 -0.0546961525371337 0.101249699851558 0.101249699851558 -0.111801821250135 -0.129785639782795 -0.416891551237909 0.035259668648926 0.0566826541965861 -0.21372923278293 -0.400019573396373 0.000603134408748222 0.0924263373459659 -0.0722967761178656 -0.116380593184566 -0.333190280461238 -0.314941325453129 -0.386044309466579 -0.23740280265473 -0.217922875601003 -0.317592694113158 -0.16562514453862 -0.170016349676807 -0.0440853930714011 -0.0187917610518457 0.142849426284481 0.0250364653867319 0.00476245916278094 0.0200704059537717 -0.289525832505356 0.0671727851545073 -0.438007290282333 0.0957588246085356
4 0.273059614418965 -0.0126895730832639 -0.105517003220878 0.879731193472144 0.108713540331707 0.153774088505577 0.0758788492274395 0.00504690529678683 -0.0024866605775919 -0.0384313168439482 -0.0721208098964153 0.0777771461510523 -0.0956521058184581 -0.040779780524009 -0.0507555280236061 -0.95464392144063 -0.95464392144063 -0.98244444337085 -0.946724138930782 -0.987880071435003 -0.983091966702307 -0.947917966193585 -0.957031035425999 -0.0426402475024423 0.0653031714930951 0.0802983762109857 -0.985188769302195 -0.973988189836804 -0.97956197226224 0.185014353841248 -0.0583108773539561 0.00299622469976759 -0.977267261395611 -0.972457592965672 -0.961028716797974 0.0625911646973101 -0.218028334561964 -0.0126999936364434 -0.952410413225098 0.114105393420517 -0.978684370388295 0.281460817910214 -0.964296113911086 -0.076439552620045 -0.985335632976927 0.177738590515189
5 0.279153494050367 -0.016151886473745 -0.106586908690788 0.941479635262329 -0.18424651390288 -0.0140519613122015 0.0750279173525708 0.00880525863452886 -0.00458206132902833 -0.0266871408413746 -0.0677118654705719 0.0801422394994229 -0.0997292806919727 -0.0423171100101784 -0.052095548445404 -0.954179661789087 -0.954179661789087 -0.97711802452256 -0.942152523158447 -0.978697092402938 -0.98162230498426 -0.943132376852046 -0.957359650828961 0.0155958491724008 -0.0332741191101417 0.0524670025367366 -0.980008693961175 -0.96454742224554 -0.976157838746065 0.202899961364448 -0.131892581837775 0.00670022889249738 -0.943654258352571 -0.965302753756558 -0.958384988536201 -0.227494715950519 -0.216012369878284 -0.0914293859460278 -0.955868098520462 0.0484947368601238 -0.971090423866737 0.251268415000934 -0.94790849906086 -0.183705132389758 -0.974885979685205 0.0848650395195068
6 0.268648643296245 -0.0183177280685082 -0.107435631519084 -0.375021333827161 0.622270362899691 0.55561247407572 0.0818473898341049 0.0111723565401199 -0.00485976942268338 -0.0167253403420918 -0.0934107103603086 0.125885141252623 -0.101864299363374 -0.038198085408019 -0.0638498197415123 -0.941110656500514 -0.941110656500514 -0.97920875497428 -0.938435972026749 -0.982726626075103 -0.966812071347737 -0.952678416904835 -0.960018019984568 -0.259376067222388 0.143045583957866 0.20318696277 -0.980197655180041 -0.971383628894033 -0.976614530180041 0.105178707989746 0.00485365387352315 0.0699619900375761 -0.962915035776389 -0.967582058544239 -0.964184423173868 -0.0174605087394012 -0.139337310710561 0.11328010251823 -0.94767271172428 0.116228984859398 -0.974300115365226 0.281115014821636 -0.95485445779321 -0.0293652946094444 -0.977968240452675 0.165728127309943

Subject "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()"
1 0.265696920582133 -0.0182981725176081 -0.10784573454611 0.744867411573487 -0.0825562579855908 0.072339870389049 0.0770930495126801 0.0165908438802305 -0.00910758730117003 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.0971120197265994 -0.0417164808293948 -0.0471393985477522 -0.453632943768818 -0.453632943768818 -0.545431612066571 -0.475404785802305 -0.639517432642651 -0.531895161258213 -0.406435448904438 -0.596411165253602 -0.180558714010749 0.0576291646962536 0.0583692776609798 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.0488005965884726 -0.21527915818415 -0.0964496376997118 -0.623219182311527 -0.505309434070029 -0.553529065425648 -0.0320324102759078 -0.0901517235974063 -0.0180063943472334 -0.478448523354179 0.142062162506138 -0.499075765624092 0.200055179527839 -0.535002770337752 0.0649309438160231 -0.645970655298847 0.198031580056455
2 0.273113115788079 -0.0191323183174834 -0.115649958175497 0.660782866688742 -0.147219886910411 0.134865335090728 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.535281800541722 -0.535281800541722 -0.58777744543543 -0.614771054893146 -0.746559539039735 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.106763418901788 0.105734176023146 0.087210586428 -0.561682049622185 -0.50890379901457 -0.715745330403973 0.0868000536209801 -0.139776595362185 -0.0942651868218543 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.00576500648245033 -0.0702155008665563 0.0513627291214901 -0.514569861316887 0.192199738218212 -0.509746432970861 0.193066821118212 -0.699742945221854 0.0471324812379801 -0.751615078360927 0.124612068599768
